layer,head,auc
4,3,0.5816221994565943
24,10,0.5805309340341187
4,1,0.5804195804195804
6,1,0.5799518952385194
23,5,0.5799296245156118
3,11,0.5798628123468889
8,1,0.5797069172865351
1,7,0.5793060442741971
8,10,0.5791056077680281
25,1,0.5785042982495211
27,2,0.5783706739120751
5,3,0.5772125963208765
26,0,0.5760990601754933
6,4,0.5759431651151397
22,11,0.5755422921028016
5,11,0.574918711861387
25,8,0.5745401095719567
23,0,0.574250590174157
25,7,0.5737383635472808
1,6,0.5723798494499132
0,6,0.5718453521001292
25,6,0.5717339984855909
5,10,0.5700859649904236
2,8,0.5685938265556101
4,4,0.56859382655561
3,0,0.5685047436639793
26,3,0.56725758318115
26,6,0.5667453565542737
0,10,0.5667230858313661
5,1,0.5652309473965524
27,3,0.5642064941427999
4,9,0.5640505990824463
25,9,0.5636274553472005
4,0,0.5635383724555699
23,3,0.5608658857066501
22,9,0.5602423054652353
22,10,0.5601309518506971
22,6,0.5591064985969445
26,1,0.5590842278740368
5,6,0.558460647632622
0,3,0.5568794263061779
5,7,0.5554541000400872
7,7,0.5549864148590263
0,4,0.5544964589550576
27,4,0.5538951494365507
2,5,0.5532270277493208
27,10,0.5526479889537215
7,11,0.5485279052158033
22,7,0.5481047614805576
27,1,0.5450982138880228
1,10,0.5449423188276692
2,2,0.540755422921028
26,5,0.540488174246136
22,5,0.5363458197853103
25,4,0.5346309741214199
22,8,0.5333838136385907
14,5,0.5320030288183154
4,2,0.5297759565275488
1,8,0.5214689768829895
2,7,0.5206672308583137
25,5,0.5201327335085297
22,1,0.519041468086054
0,9,0.5171929980847179
27,9,0.5169702908556412
7,10,0.5157231303728119
0,2,0.5140082847089217
2,6,0.5088637477172508
2,3,0.5080842724154826
23,4,0.49877511024007837
27,7,0.47568037058482915
0,11,0.47429958576455394
